Bangladesh medical journal,Bangladesh Med J
The Hand,Hand
Rivista italiana del tracoma e di patologia oculare esotica,Riv Ital Trac Patol Ocul Esotica
English literary renaissance,Engl Lit Renaiss
"Studies in church history (Chicago, Ill.)",Stud Chur Hist
Khimiia prirodnykh soedinenii,Him Prir Soedin
Newsweek,Newsweek
Applied environmental education and communication (Print),Appl Environ Educ Commun
The Journal of peasant studies,J Peasant Stud
Arztliche Kosmetologie = Medical cosmetology,Arztl Kosmetol
Rivista di clinica pediatrica,Riv Clin Pediatr
The Asian journal of economics : a journal of the Society for Asian Development,Asian J Econ
Sample registration bulletin,Sample Regist Bull
European journal of dermatology : EJD,Eur J Dermatol
O Medico; semanario de assuntos medicos e paramedicos,Medico (Porto)
La Pediatria medica e chirurgica : Medical and surgical pediatrics,Pediatr Med Chir
General and comparative endocrinology,Gen Comp Endocrinol
West Virginia law review,West VA Law Rev
Noticiero medico espanol,Not Med Esp
Visual cognition,Vis cogn
The clinical bulletin. University Hospitals of Cleveland (Ohio),Clin Bull Univ Hosp Clevel (Ohio)
The north wing; the magazine of the Sheffield medical and dental schools,North Wing
International journal of knowledge engineering and soft data paradigms,Int J Knowl Eng Soft Data Paradig
Revista brasileira de gastroenterologia,Rev Bras Gastroenterol
Pielegniarka i polozna,Pieleg Polozna
Journal of applied biomaterials \& biomechanics : JABB,J Appl Biomater Biomech
Family law reports,Fam Law Rep
The Sciences,Sciences (New York)
Anthropologia,Anthropologia
European journal of cell biology,Eur J Cell Biol
Probe,Probe (Adelaide)
European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,Eur J Pharm Biopharm
Biotechnology therapeutics,Biotechnol Ther
Hematology reports,Hematol Rep
Psycho-oncology,Psychooncology
Psychiatry research,Psychiatry Res
Archives of dermatological research,Arch Dermatol Res
Metabolomics : Official journal of the Metabolomic Society,Metabolomics
Intensive care world,Intensive Care World
Plant science : an international journal of experimental plant biology,Plant Sci
The Greater St. Louis Dental Society bulletin,Greater St Louis Dent Soc Bull
"Growth, genetics \& hormones",Growth Genet Horm
Air and water pollution,Air Water Pollut
Molecular urology,Mol Urol
Endocrinologia experimentalis,Endocrinol Exp
Acta Universitatis Stockholmiensis. Stockholm studies in English,Stockh Stud Engl
Police practice \& research : an international journal,Police Pract Res
Neuroimaging clinics of North America,Neuroimaging Clin N Am
"Inforum (Adelaide, S. Aust.)",Inforum
Connecticut law review,Conn Law Rev
Magnesium research : official organ of the International Society for the Development of Research on Magnesium,Magnes Res
International journal of psychiatry in medicine,Int J Psychiatry Med
Mycotoxin research,Mycotoxin Res
Cutaneous and ocular toxicology,Cutan Ocul Toxicol
Clinical transplants,Clin Transpl
Les temps modernes,Temps Mod
Upsala journal of medical sciences. Supplement,Ups J Med Sci Suppl
"Stanford journal of law, science \& policy",Stanf J Law Sci Policy
Journal of the American College of Radiology : JACR,J Am Coll Radiol
York state tradition,York State Trad
Hydrological processes,Hydrol Process
Bulletin of the American Schools of Oriental Research. American Schools of Oriental Research,Bull Am Schools Orient Res
Radiologia Austriaca,Radiol Austriaca
Adoption quarterly,Adopt Q
Journal of poverty,J Poverty
Inhalation toxicology,Inhal Toxicol
The Philippine economic journal,Philipp Econ J
Cahiers d'histoire,Cah Hist
"Agricultural economics (Amsterdam, Netherlands)",Agric Econ
The Journal of systems and software,J Syst Softw
Beitrage zur deutschen Philologie,Beitr Dtsch Philol
Journal d'urologie medicale et chirurgicale,J Urol Medicale Chir
Canadian Psychiatric Association journal,Can Psychiatr Assoc J
The American Society Legion of Honor magazine,Am Soc Legion Honor Mag
Stomatologica,Stomatologica (Genova)
Proteomics. Clinical applications,Proteomics Clin Appl
Journal of criminal justice,J Crim Justice
Hispanic journal of behavioral sciences,Hisp J Behav Sci
"NP news (Bellevue, Wash.)",NP News
Theranostics,Theranostics
Arbor,Arbor
"Page's Ohio revised code annotated : containing the text of the official Ohio revised code, effective October 1, 1953, with the addition of all statutes of a general nature enacted by the General Assembly ... and notes of decisions cons...",Pages Ohio Revis Code Annot Ohio
The Medical staff counselor,Med Staff Couns
The Bulletin of the American Society of Papyrologists. American Society of Papyrologists,Bull Am Soc Papyrol
The journal of gender-specific medicine : JGSM : the official journal of the Partnership for Women's Health at Columbia,J Gend Specif Med
Pommern,Pommern
Presidential studies quarterly,Pres Stud Q
Angiologica,Angiologica
Le Moniteur des pharmacies et des laboratoires,Monit Pharm Lab
Constraints : an international journal,Constraints
Current practice in pediatric nursing,Curr Pract Pediatr Nurs
L'Ateneo parmense. Acta bio-medica : organo della Societa di medicina e scienze naturali di Parma,Ateneo Parmense Acta Biomed
Bulletin of the Research Council of Israel,Bull Res Counc Isr
Journal of computational electronics,J Comput Electron
Bulletin - National Tuberculosis and Respiratory Disease Association,Bull Natl Tuberc Respir Dis Assoc
Publicaciones medicas,Publ Med
The Journal of clinical and aesthetic dermatology,J Clin Aesthet Dermatol
"CDR (London, England : Weekly)",CDR (Lond Engl Wkly)
Nutritio et dieta; European review of nutrition and dietetics,Nutr Dieta Eur Rev Nutr Diet
Revista de ginecologia e d'obstetricia,Rev Ginecol Obstet (Sao Paulo)
Molecular pharmaceutics,Mol Pharm
Journal of molecular biology,J Mol Biol
Infectious disease reports,Infect Dis Rep
Cuadernos de bioetica : revista oficial de la Asociacion Espanola de Bioetica y Etica Medica,Cuad Bioet
Canadian HIV/AIDS policy \& law review / Canadian HIV/AIDS Legal Network,Can HIV AIDS Policy Law Rev
Journal of Crohn's \& colitis,J Crohns Colitis
Korean diabetes journal,Korean Diabetes J
Izvestiia Vsesoiuznogo geograficheskogo obshchestva. Geograficheskoe obshchestvo SSSR,Izv Vses Geogr Obshchestva
"Hippokrates (Helsinki, Finland)",Hippokrates (Helsinki)
"Clinica (Bologna, Italy)",Clinica
Emergency medicine Australasia : EMA,Emerg Med Australas
Catholic hospital,Cathol Hosp
FAO food and nutrition paper,FAO Food Nutr Pap
Uchenye zapiski. Seriia biologicheskaia. Leningrad. Universitet,Uchenye Zap Seriia Biolog Leningr Univ
McGregor Clinic bulletin,McGregor Clin Bull
Przeglad zachodni,Prz Zach
International journal of sport psychology,Int J Sport Psychol
Revista loteria,Loteria (Panama)
Etudes d'histoire africaine,Etud Hist Afr
Child nephrology and urology,Child Nephrol Urol
Osterreichische Militarische Zeitschrift,Osterr Mil Z
Novon : a journal for botanical nomenclature / Missouri Botanical Garden,
Decisions,Decisions
The Journal of Mexican American history,J Mex Am Hist
Archives of virology,Arch Virol
Orthopedics,Orthopedics
World journal of biological chemistry,World J Biol Chem
The Harvard blackletter journal,Harv Blacklett J
Guildhall studies in London history,Guildhall Stud Lond Hist
Dental Therapeutics Newsletter,Dent Ther Newsl
Beneficial microbes,Benef Microbes
"Glimpse (Dhaka, Bangladesh)",Glimpse
Journal of clinical gastroenterology,J Clin Gastroenterol
Inorganica chimica acta,Inorganica Chim Acta
Revista cubana de medicina sovietica,Rev Cuba Med Sov
Revista dental,Rev Dent (St Domingo)
"Dicle Universitesi Tip Fakultesi dergisi = The journal of the Faculty of Medicine, University of Dicle",Dicle Univ Tip Fakul Derg
"Journal of public health (Oxford, England)",J Public Health (Oxf)
The Cerebral palsy journal,Cereb Palsy J
"Making the rounds in health, faith, \& ethics",Mak Rounds Health Faith Ethics
Rural policy brief,Rural Policy Brief
Gastroenterologische Fortbildungskurse fur die Praxis,Gastroenterol Fortbildungskurse Prax
Current controlled trials in cardiovascular medicine,Curr Control Trials Cardiovasc Med
Minerva pediatrica,Minerva Pediatr
Cerebral palsy bulletin,Cereb Palsy Bull
Folklore suisse,Folkl Suisse
NLN publications,NLN Publ
Molecular marine biology and biotechnology,Mol Mar Biol Biotechnol
Philippine journal of cardiology,Philipp J Cardiol
Scandinavian journal of clinical and laboratory investigation,Scand J Clin Lab Invest
The West African medical journal and Nigerian practitioner,West Afr Med J Niger Pract
Der Wendepunkt im Leben und im Leiden,Wendepunkt Leben Leiden
The Cervix and the lower female genital tract,Cervix Low Female Genital Tract
The Journal of clinical endocrinology and metabolism,J Clin Endocrinol Metab
Dimensions of critical care nursing,Dimens Crit Care Nurs
Annales historiques du Mantois,Ann Hist Mantois
Oriental pharmacy and experimental medicine,Orient Pharm Exp Med
Magnetic resonance in chemistry,Magn Reson Chem
Biologicals : journal of the International Association of Biological Standardization,Biologicals
The Indian journal of surgery,Indian J Surg
Gazette - The Law Society of Upper Canada. Law Society of Upper Canada,Gaz Law Soc Upper Can
Policlinico infantile,Policlin Infant
European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,Eur J Surg Oncol
Monographs of the American Association on Mental Deficiency,Monogr Am Assoc Ment Defic
Ukrains'kyi istorychnyi zhurnal,Ukr Istor Z
Synchrotron radiation news,Synchrotron Radiat News
Hispania sacra,Hisp Sacra
Circulation. Cardiovascular genetics,Circ Cardiovasc Genet
Female health topics \& diagnostic reporter,Female Health Top Diagn Report
Canadian journal of Latin American and Caribbean studies,Can J Lat Am Caribb Stud
League exchange,League Exch
Biochemia medica : casopis Hrvatskoga drustva medicinskih biokemicara / HDMB,Biochem Med (Zagreb)
Revista medica dominicana,Rev Med Dominic
History today,Hist Today
Journal de medecine de Lyon,J Med Lyon
Gaceta medica de occidente,Gac Med Occidente
Analecta Calasanctiana,Analecta Calas
Marine drugs,Mar Drugs
NLN update : connecting members of the National League for Nursing,NLN Update
Archives of surgery,Arch Surg
The Canadian journal of infectious diseases \& medical microbiology,Can J Infect Dis Med Microbiol
Brookings bulletin,Brookings Bull
Journal of neuro-oncology,J Neurooncol
The Journal of ethnic studies,J Ethn Stud
The journal of evidence-based dental practice,J Evid Based Dent Pract
Substance abuse and rehabilitation,Subst Abuse Rehabil
"Journal of vacuum science \& technology. B, Microelectronics and nanometer structures : processing, measurement, and phenomena : an official journal of the American Vacuum Society",J Vac Sci Technol B Microelectron Nanometer Struct Process Meas Phenom
Neuropathology and applied neurobiology,Neuropathol Appl Neurobiol
"Sante publique (Vandoeuvre-les-Nancy, France)",Sante Publique
"Annals of ophthalmology (Skokie, Ill.)",Ann Ophthalmol (Skokie)
Nursing standard : official newspaper of the Royal College of Nursing,Nurs Stand
"Archives of internal medicine (Chicago, Ill. : 1908)",Arch Intern Med (Chic)
Archives de l'Institut Pasteur de la Martinique,Arch Inst Pasteur Martinique
Issue brief (Institute on Health Care Costs and Solutions),Issue Brief (Inst Health Care Costs Solut)
Journal of brachial plexus and peripheral nerve injury,J Brachial Plex Peripher Nerve Inj
The William and Mary Bill of Rights journal : a student publication of the Marshall-Wythe School of Law,William Mary Bill Rights J
Social psychology,Soc Psychol (Gott)
UN monthly chronicle,UN Mon Chron
Journal of LGBT health research,J LGBT Health Res
Hebrew Union College annual. Hebrew Union College,Heb Union Coll Annu
al-Usrah wa-al-'umran al-bashari,Al Usrah Wa Al Umran Al Bashari
"Refu'at ha-shinayim (Tel Aviv, Israel : 1983)",Refuat Hashinayim
Regulatory analyst. Medical waste,Regul Anal Med Waste
"Seeds (New York, N.Y.)",Seeds
Acta radiologica. Supplementum,Acta Radiol Suppl
Progress in nuclear medicine,Prog Nucl Med
Biomass \& bioenergy,Biomass Bioenergy
The American sociologist,Am Sociol
International geology review,Int Geol Rev
Oeconomica Polona,Oecon Pol
Schwestern Revue,Schwest Rev
Physics,Physics (College Park Md)
La Revue stomato-odontologique du nord de la France,Rev Stomatoodontol Nord Fr
Higiene,Higiene
Anales del Instituto Barraquer,An Inst Barraquer
Indiana medicine : the journal of the Indiana State Medical Association,Indiana Med
Sowjetwissenschaft; Naturwissenschaftliche Beitrage,Sowjetwiss Naturwiss Beitr
The Psychohistory review,Psychohist Rev
Current opinion in chemical biology,Curr Opin Chem Biol
"Bulletin of the Department of Health, Commonwealth of Kentucky. Kentucky. Dept. of Health",Bull Dep Health Commonw Ky
Stem cell research,Stem Cell Res
La Presse thermale et climatique,Presse Therm Clim
Clinical reproduction and fertility,Clin Reprod Fertil
"HIV/AIDS (Auckland, N.Z.)",HIV AIDS (Auckl)
Clinical and investigative medicine. Medecine clinique et experimentale,Clin Invest Med
Pediatria de las Americas,Pediatr Am
Prensa pediatrica; revista americana de puericultura y pediatria,Prensa Pediatr Rev Am Puericu Pediatr
"Molekuliarna meditsina = Molecular medicine / Nauchno sdruzhenie ""Molekuliarna meditsina""",Mol Med (Sofia)
Consumer markets abroad,Consum Mark Abroad
Bibliotheca psychiatrica,Bibl Psychiatr
Pathologie et biologie,Pathol Biol
Quinnipiac health law journal,Quinnipiac Health Law J
Revue de synthese / Centre international de synthese,Rev Synth
Alkoholizm i narkomania,Alkohol Narkom
Psychiatria clinica,Psychiatr Clin (Basel)
Medical times,Med Times
International journal of trichology,Int J Trichology
Algorithms,Algorithms
Journal of rehabilitation research and development. Clinical supplement / Veterans Administration,J Rehabil Res Dev Clin Suppl
Echoes,Echoes
"Cytokines, cellular \& molecular therapy",Cytokines Cell Mol Ther
"Sbornik Narodniho musea v Praze. B, Prirodovedny = Acta Musei Nationalis Pragae. B, Hist. naturalis",Sb Nar Muz Praze Rada B
IEEE transactions on nuclear science,IEEE Trans Nucl Sci
Year book - American Philosophical Society,Yearb Am Philos Soc
Pharmacology for physicians,Pharmacol Physicians
Documenta Geigy. Acta rheumatologica. [English ed.],Doc Geigy Acta Rheumatol
Contemporary topics in laboratory animal science / American Association for Laboratory Animal Science,Contemp Top Lab Anim Sci
Acta medica del valle,Acta Med Valle
[Jika shinryo] Journal for pediatric praxis,Jika Shinryo
Les Annales de l'I.F.O.R.D,Ann IFORD
IARC monographs on the evaluation of carcinogenic risk of chemicals to man,IARC Monogr Eval Carcinog Risk Chem Man
"Comptes rendus de l'Academie des sciences. Serie III, Sciences de la vie",C R Acad Sci III
Policy review,Policy Rev
Revista do Instituto de Medicina Tropical de Sao Paulo,Rev Inst Med Trop Sao Paulo
Berytus,Berytus
Il Dermosifilografo,Dermosifilografo (Torino)
Trusts and estates,Trusts Estates
The Fordham urban law journal,Fordham Urban Law J
Terrestrial arthropod reviews,Terr Arthropod Rev
Topics in spinal cord injury rehabilitation,Top Spinal Cord Inj Rehabil
AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium,AMIA Annu Symp Proc
Materials letters,Mater Lett
"Contexts (Berkeley, Calif.)",Contexts (Berkeley Calif)
Drug and cosmetic industry,Drug Cosmet Ind
Ahapit : ukrais'kyi istoryko-medychnyi zhurnal,Agapit
"Infusionstherapie (Basel, Switzerland)",Infusionstherapie
Utafiti,Utafiti
Medicina y seguridad del trabajo,Med Segur Trab (Madr)
International journal of Alzheimer's disease,Int J Alzheimers Dis
Plant breeding reviews,Plant Breed Rev
Neumologia y cirugia de torax,Neumol Cir Torax
Journal de stomatologie de Belgique,J Stomatol Belg
Imaging in medicine,Imaging Med
Zeitschrift fur Jagdwissenschaft,Z Jagdwiss
Bulletin of the Institute of Historical Research,Bull Inst Hist Res
Klinische Neuroradiologie,Klin Neuroradiol
Revista medica del Hospital Britanico,Rev Med Hosp Britanico
Scientific reports,Sci Rep
Gazzetta medica italiana,Gazz Med Ital
Chirurgie de la main,Chir Main
Les entretiens de Bichat. Medecine. Entretiens de Bichat,Entret Bichat Med Entret Bichat
Annual review of biophysics and biomolecular structure,Annu Rev Biophys Biomol Struct
Journal of parasitology research,J Parasitol Res
Acarologia,Acarologia
Representative research in social psychology,Represent Res Soc Psychol
Magyar tudomany : [a Magyar Tudomanyos Akademia Ertesitoje],Magy Tud
Acta psychiatrica et neurologica,Acta Psychiatr Neurol
Internationales Archiv fur Ethnographie,Arch Int Ethnogr
International ophthalmology,Int Ophthalmol
Bulletin. American Pharmaceutical Association. Committee on National Formulary,Bull Am Pharm Assoc
Society and mental health,Soc Ment Health
Mental health bulletin,Ment Health Bull (Danville)
Kaku igaku. The Japanese journal of nuclear medicine,Kaku Igaku
Gazzetta internazionale di medicina e chirurgia,Gazz Int Med Chir
"Berichte zur Raumforschung und Raumplanung (Vienna, Austria)",Ber Raumforsch Raumplan
Journal (National Association for Hospital Development (U.S.)),J Natl Assoc Hosp Dev
"MD (Chicago, Ill.)",MD (Chic)
"Geriatric nursing (New York, N.Y.)",Geriatr Nurs
Journal of the Kentucky Academy of Science,J Ky Acad Sci
Advances in the biosciences,Adv Biosci
University of Detroit law review,Univ Detroit Law Rev
Courrier,Courrier
International journal of behavioral and consultation therapy,Int J Behav Consult Ther
The American Journal of dermatopathology,Am J Dermatopathol
"Drug, healthcare and patient safety",Drug Healthc Patient Saf
Journal of college science teaching,J Coll Sci Teach
Bulletin du Centre d'histoire economique et sociale de la region lyonnaise. Centre d'histoire economique et sociale de la region lyonnaise,Bull Cent Hist Econ Soc Reg Lyon
Journal of marine systems : journal of the European Association of Marine Sciences and Techniques,J Mar Syst
Revista de psicologia general y aplicada,Rev Psicol Gen Apl
European psychiatry : the journal of the Association of European Psychiatrists,Eur Psychiatry
"Chronicle (Philadelphia, Pa. : 1990)",Chronicle (Phila)
Nucleic acids symposium series,Nucleic Acids Symp Ser
Louisiana studies,La Stud
Voprosy istorii estestvoznaniia i tekhniki (Institut istorii estestvoznaniia i tekhniki (Akademiia nauk SSSR)),Vopr Istor Estestvozn Tekh
Anales del Instituto de Estudios Madrilenos. Instituto de Estudios Madrilenos (Consejo Superior de Investigaciones Cientificas),An Inst Estud Madr
Clinical epigenetics,Clin Epigenetics
Enfoque feminista,Enfoque Fem
"Ying yong sheng tai xue bao = The journal of applied ecology / Zhongguo sheng tai xue xue hui, Zhongguo ke xue yuan Shenyang ying yong sheng tai yan jiu suo zhu ban",Ying Yong Sheng Tai Xue Bao
"Schweizerische Zeitschrift fur Psychologie und ihre Andwendungen. Revue suisse de psychologie, pure et appliquee",Schweiz Z Psychol Anwend
"Healthcare quarterly (Toronto, Ont.)",Healthc Q
Cytokine,Cytokine
Sociology of education,Sociol Educ
"Trial (Boston, Mass.)",Trial
Oklahoma law review,Oklahoma Law Rev
"Ravintsara : collection medecine, sante publique",Ravintsara
Cuban studies,Cuban Stud
Journal of mammalian evolution,J Mamm Evol
California journal,Calif J
Brigham Young University studies. Brigham Young University,Brigham Young Univ Stud
Administrative radiology journal,Adm Radiol J
La technique sanitaire et municipale,Tech Sanit Munic
"Growth, development, and aging",Growth Dev Aging
Basic life sciences,Basic Life Sci
Recent patents on CNS drug discovery,Recent Pat CNS Drug Discov
Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation,Acta Belg Med Phys
International maritime health,Int Marit Health
"Wiadomosci lekarskie (Warsaw, Poland : 1960)",Wiad Lek
Research in urban economics,Res Urban Econ
"Papeles de poblacion / Centro de Investigacion y Estudios Avanzados de la Poblacion, Universidad Autonoma del Estado de Mexico",Papeles Poblac
American health,Am Health
Journal of cardiology,J Cardiol
Alcohol health and research world,Alcohol Health Res World
Frontiers in neuroendocrinology,Front Neuroendocrinol
Arhiv za higijenu rada i toksikologiju,Arh Hig Rada Toksikol
United States reports : cases adjudged in the Supreme Court at ... and rules announced at ... United States. Supreme Court,U S Rep U S Supreme Court
Zeitschrift fur Ethnologie,Z Ethnol
Clinical proceedings - Children's Hospital National Medical Center,Clin Proc Child Hosp Natl Med Cent
Centro de Estudios de Recursos Odontologicos para el Nino : CERON,Cent Estud Recur Odontol Nino
Department of the Army technical bulletin. TB MED,Tech Bull Dep Army
The Urban review,Urban Rev
Patient education and counseling,Patient Educ Couns
Journal of embryology and experimental morphology,J Embryol Exp Morphol
Alcoholism treatment quarterly,Alcohol Treat Q
Revista/review interamericana,Rev Rev Interam
Hydrotherapie-Physiotherapie,Hydrother Physiother
Canadian review of sociology,Can Rev Sociol
Health policy week,Health Policy Week
Canadian journal of urban research,Can J Urban Res
Symposia of the Swedish Nutrition Foundation,Symp Swed Nutr Found
Giornale di fisica sanitaria e protezione contro le radiazioni. The journal of health physics and radiation protection,G Fis Sanit Prot Radiaz
"Health policy (Amsterdam, Netherlands)",Health Policy
Bulletin - Cincinnati Dental Society,Bull Cincinnati Dent Soc
The British journal of clinical psychology,Br J Clin Psychol
Information retrieval,Inf Retr Boston
"American journal of health education / American Alliance for Health, Physical Education, Recreation, and Dance",Am J Health Educ
The international journal of lower extremity wounds,Int J Low Extrem Wounds
Journal of computer science and technology,J Comput Sci Technol
Revista de la Agrupacion Odontologica de la Capital Federal,Rev Agrup Odontol Cap Fed
Coeur; revue de cardiologie medico-chirurgicale,Coeur
International journal of biomedical engineering and technology,Int J Biomed Eng Technol
Early pregnancy (Online),Early Pregnancy
The open enzyme inhibition journal,Open Enzym Inhib J
"Weekly mail (Johannesburg, South Africa)",Weekly Mail
Early intervention in psychiatry,Early Interv Psychiatry
International journal of air and water pollution,Int J Air Water Pollut
The New York review of books,New York Rev Books
Brigham Young University law review,Brigh Young Univ Law Rev
International journal of hematology,Int J Hematol
Materia medica Polona. Polish journal of medicine and pharmacy,Mater Med Pol
MSN; monthly science news,MSN Mon Sci News
L'Information psychiatrique,Inf Psychiatr
Medical arts and sciences,Med Arts Sci
Advances in pain research and therapy,Adv Pain Res Ther
Journal of neurosurgery,J Neurosurg
World education reports,World Educ Rep
Noshuyo byori = Brain tumor pathology,Noshuyo Byori
El Mecanico dental,Mec Dent
Montana : the magazine of western history,Montana
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,J Heart Lung Transplant
Revista europea de estudios latinoamericanos y del Caribe = European review of Latin American and Caribbean studies,Rev Eur Estud Latinoam Caribe
Valparaiso University law review. Valparaiso University. School of Law,Valparaiso Univ Law Rev
Behavioral ecology : official journal of the International Society for Behavioral Ecology,Behav Ecol
Australian journal of political science,Aust J Polit Sci
Journal of the Japanese Obstetrical \& Gynecological Society,J Jpn Obstet Gynecol Soc
Proceedings of the Human Factors and Ergonomics Society ... Annual Meeting. Human Factors and Ergonomics Society. Meeting,Proc Hum Factors Ergon Soc Annu Meet
International health,Int Health
Hellenike cheirourgike. Acta chirurgica Hellenica,Hell Cheirourgike
Acta neurobiologiae experimentalis,Acta Neurobiol Exp (Wars)
Nursing children and young people,Nurs Child Young People
Journal of dermatological science,J Dermatol Sci
Population bulletin,Popul Bull
Patologia e clinica ostetrica e ginecologica,Patol Clin Ostet Ginecol
Deutsches Archiv fur klinische Medizin,Dtsch Arch Klin Med
"Washington times (Washington, D.C. : 1982)",Wash Times
Optica acta,Opt Acta (Lond)
Behavior modification,Behav Modif
Postepy higieny i medycyny doswiadczalnej,Postepy Hig Med Dosw
Bulletin of the Menninger Clinic,Bull Menninger Clin
Journal of healthcare engineering,J Healthc Eng
Orthodontike epitheorese : epiotemoniko periodiko tes Orthodontikes Etaireias tes Ellados / OEE,Orthod Epitheorese
The journal of supportive oncology,J Support Oncol
Women And Aids,Women AIDS
"Caridad, ciencia y arte",Caridad Cienc Arte
Chronicle (Royal College of Physicians of Edinburgh),Chron R Coll Physicians Edinb
Contributions to mineralogy and petrology. Beitrage zur Mineralogie und Petrologie,Contrib Mineral Petrol
Digitale Bilddiagnostik,Digitale Bilddiagn
Experimental gerontology,Exp Gerontol
Astrameddelande,Astrameddelande
Stomatologika chronika. Acta stomatologica Hellenica,Stomatol Chron (Athenai)
Journal of supramolecular structure and cellular biochemistry. Supplement,J Supramol Struct Cell Biochem Suppl
The journal of pastoral care \& counseling : JPCC,J Pastoral Care Counsel
Medicamentos de actualidad. Drugs of today,Med Actual
Oncoimmunology,Oncoimmunology
Freshwater reviews : a journal of the Freshwater Biological Association,Freshw Rev
The Journal of bone and joint surgery. British volume,J Bone Joint Surg Br
Profiles in hospital marketing,Profiles Hosp Mark
Issue brief (Massachusetts Health Policy Forum),Issue Brief (Mass Health Policy Forum)
Acta psychotherapeutica et psychosomatica,Acta Psychother Psychosom
Journal of substance abuse,J Subst Abuse
Atti e memorie della Accademia italiana di storia della farmacia,Atti Mem Accad Ital Stor Farm
Dental economics - oral hygiene,Dent Econ
Biology and society : the journal of the Eugenics Society,Biol Soc
Journal of dental education,J Dent Educ
Progress in molecular biology and translational science,Prog Mol Biol Transl Sci
The Nursing clinics of North America,Nurs Clin North Am
Fiziologicheskii zhurnal imeni I.M. Sechenova / Rossiiskaia akademiia nauk,Fiziol Zh Im I M Sechenova
Family health,Fam Health
Microscopia electronica y biologia celular : organo oficial de las Sociedades Latinoamericana de Microscopia Electronica e Iberoamericana de Biologia Celular,Microsc Electron Biol Celular
Colonial Latin American historical review : CLAHR,Coln Latin Am Hist Rev
Ethnic and racial studies,Ethn Racial Stud
Annual review of biophysics,Annu Rev Biophys
Shoni shikagaku zasshi. The Japanese journal of pedodontics,Shoni Shikagaku Zasshi
Bulletin of the Hospital for Joint Diseases,Bull Hosp Joint Dis
"Journal of environmental science and health. Part A, Environmental science and engineering \& toxic and hazardous substance control",J Environ Sci Health A Environ Sci Eng Toxic Hazard Subst Control
[Yakugaku kenkyu] Japanese journal of pharmacy and chemistry,Yakugaku Kenkyu
Alaska health profile,Alsk Health Profile
Central states speech journal,Cent States Speech J
CNS drugs,CNS Drugs
"Religion in life (New York, N.Y.)",Relig Life
Journal. National Analgesia Society,J Natl Analg Soc
Atlas world press review,Atlas World Press Rev
Keeping posted,Keep Posted
Leopoldina,Leopoldina
Zoological journal of the Linnean Society,Zool J Linn Soc
QRC advisor,QRC Advis
Leyte-Samar studies,Leyte Samar Stud
International journal of obesity and related metabolic disorders : journal of the International Association for the Study of Obesity,Int J Obes Relat Metab Disord
Judaica librarianship,Jud Librariansh
Pediatric reports,Pediatr Rep
European journal of inorganic chemistry,Eur J Inorg Chem
The plant genome,Plant Genome
Hemostase,Hemostase
The open tissue engineering and regenerative medicine journal,Open Tissue Eng Regen Med J
Basic \& clinical pharmacology \& toxicology,Basic Clin Pharmacol Toxicol
"Annales d'hygiene publique, industrielle et sociale",Ann Hyg Publique Ind Soc (1923)
"Journal of veterinary emergency and critical care (San Antonio, Tex. : 2001)",J Vet Emerg Crit Care (San Antonio)
Documenta Geigy. Acta psychosomatica. [Deutsche Ausg],Doc Geigy Acta Psychosom (Dtsch Ausg)
Experimental and clinical cardiology,Exp Clin Cardiol
Waking and sleeping,Waking Sleeping
Healthcare trends \& transition,Healthc Trends Transit
Revista medica del Instituto Mexicano del Seguro Social,Rev Med Inst Mex Seguro Soc
Archivio di radiologia,Arch Radiol
Journal of health and human behavior,J Health Hum Behav
Retrovirology,Retrovirology
International journal of image and graphics,Int J Image Graph
Contemporary neurology series,Contemp Neurol Ser
Archiv fur Psychologie,Arch Psychol (Frankf)
Dissent,Dissent
Wayne law review,Wayne Law Rev
"Journal of agricultural, biological, and environmental statistics",J Agric Biol Environ Stat
Advances in fluorine research and dental caries prevention,Adv Fluorine Res
International journal of surgical pathology,Int J Surg Pathol
Operational research quarterly,Oper Res Q
Review of palaeobotany and palynology,Rev Palaeobot Palynol
Entreprises et histoire,Entrep Hist
Immunology and cell biology,Immunol Cell Biol
Traumatology,Traumatology (Tallahass Fla)
Tropical biomedicine,Trop Biomed
Radiological health data and reports,Radiol Health Data Rep
Cuadernos medicos-sociales,Cuad Med Soc
Medicina y cirugia de guerra,Med Cir Guerra
Revue de Coree,Rev Coree
"Esprit (Paris, France : 1932)",Esprit
The British journal of educational psychology,Br J Educ Psychol
Journal of sport history,J Sport Hist
Journal of cancer education : the official journal of the American Association for Cancer Education,J Cancer Educ
The Korean journal of parasitology,Korean J Parasitol
Werkstatt geschichte,Werkstatt Gesch
Journal of biomolecular structure \& dynamics,J Biomol Struct Dyn
Trials,Trials
Applied and computational harmonic analysis,Appl Comput Harmon Anal
Baker-Cederberg notebook. Baker-Cederberg Museum \& Archives,Baker Cederberg Noteb
Bio/technology (Nature Publishing Company),Biotechnology (N Y)
Environnement africain,Environ Afr
Medical journal of Osaka University,Med J Osaka Univ
